cp,colonia,tipo,municipio,estado,ciudad,ZONA,,,,,,,,,,,,,,,,,,,Caliente
44620,Ayuntamiento,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44620,Chapultepec Country,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44630,Circunvalación Américas,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44630,Providencia,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44635,Rubio y Corona,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44647,Lomas de Providencia,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44648,Italia Providencia,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44650,Las Américas,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44650,Rojas Ladrón de Guevara,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44656,Jesús Garcia,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44657,Lomas de Guevara,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44658,Italia,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44658,Providencia Sur,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44660,Aldrete,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44660,Colinas de San Javier,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44660,Los Colomos,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44660,Villa de los Colomos,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44660,Colomos Providencia,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44665,Rinconada del Arroyo,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44667,Agraria,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44668,Vista Del Country,Condominio,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44670,Eulogio Parra,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44670,Monraz,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44670,Prados de Providencia,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44670,Terrazas Monraz,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44670,Lomas del Valle,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44678,Lomas Santa Rita,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
